Accession	Cell	TF	ES	pval.adj	condition	control	treatment
ENCSR000EHA.TBP.K562	K562	TBP	-0.96252	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EHB.TAL1.K562	K562	TAL1	-0.96772	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EHC.GTF2F1.K562	K562	GTF2F1	-0.9651299999999999	0.0281199538638985	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EHD.CHD2.K562	K562	CHD2	-0.9614799999999999	0.0261574618096357	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EHE.CEBPB.K562	K562	CEBPB	-0.9656399999999999	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EHG.USF2.K562	K562	USF2	-0.9692700000000001	0.0441666666666667	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EHH.NRF1.K562	K562	NRF1	-0.9632700000000001	0.0769085173501577	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EHJ.STAT1.K562	K562	STAT1	-0.9798899999999999	0.0128571428571429	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EHK.STAT1.K562	K562	STAT1	-0.9882200000000001	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EHN.SMARCB1.K562	K562	SMARCB1	-0.98196	0.0095067264573991	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EHR.MYC.NB4	NB4	MYC	-0.9623	0.0493824485373781	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EHS.MAX.NB4	NB4	MAX	-0.9663700000000001	0.00613899613899614	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EHV.EP300.SKNSH	SKNSH	EP300	-0.9708399999999999	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EHW.SMC3.SKNSH	SKNSH	SMC3	-0.9659200000000001	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EHX.RAD21.SKNSH	SKNSH	RAD21	-0.966	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EHY.RFX5.SKNSH	SKNSH	RFX5	-0.97439	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EHZ.NRF1.SKNSH	SKNSH	NRF1	-0.9694	0.00613899613899614	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EIA.MXI1.SKNSH	SKNSH	MXI1	-0.96544	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EIB.JUND.SKNSH	SKNSH	JUND	-0.97424	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EIC.CTCF.SKNSH	SKNSH	CTCF	-0.96349	0.00830721003134796	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EUJ.IKZF1.GM12878	GM12878	IKZF1	-0.9759	0.18001998001997999	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EUK.ZNF274.GM12878	GM12878	ZNF274	-0.98895	0.199801587301587	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EUL.NR2C2.GM12878	GM12878	NR2C2	-0.94891	0.5073073263558521	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EUM.YY1.GM12878	GM12878	YY1	-0.97836	0.104352331606218	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EUN.ZNF274.ESC_H1	ESC H1	ZNF274	-0.9868	0.142116935483871	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EUO.CTBP2.ESC_H1	ESC H1	CTBP2	-0.9656399999999999	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EUP.MAX.ESC_H1	ESC H1	MAX	-0.9672200000000001	0.00613899613899614	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EUQ.SUZ12.ESC_H1	ESC H1	SUZ12	-0.9548200000000001	0.39025886864813	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EUV.TCF7L2.HCT166	HCT166	TCF7L2	-0.9648200000000001	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EUY.TCF7L2.HEK293	HEK293	TCF7L2	-0.98308	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EUZ.TRIM28.HEK293	HEK293	TRIM28	-0.9800200000000001	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EVB.ELK4.HEK293	HEK293	ELK4	-0.98744	0.0862148070907195	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EVD.ZNF263.HEK293	HEK293	ZNF263	-0.9625799999999999	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EVE.TCF7L2.HELA_S3	HELA S3	TCF7L2	-0.9669	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EVF.TCF7L2.HELA_S3	HELA S3	TCF7L2	-0.9849	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EVG.ZNF274.HELA_S3	HELA S3	ZNF274	-0.98846	0.260097370983447	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EVI.ELK4.HELA_S3	HELA S3	ELK4	-0.97456	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EVJ.E2F1.HELA_S3	HELA S3	E2F1	-0.9717600000000001	0.0292078071182549	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EVK.E2F6.HELA_S3	HELA S3	E2F6	-0.9791	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EVL.E2F4.HELA_S3	HELA S3	E2F4	-0.9827799999999999	0.0095067264573991	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EVM.E2F1.HELA_S3	HELA S3	E2F1	-0.96849	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EVN.NR2C2.HELA_S3	HELA S3	NR2C2	-0.9757	0.0493824485373781	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EVQ.TCF7L2.HEPG2	HEPG2	TCF7L2	-0.9849399999999999	0.0271794871794872	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EVS.NR2C2.HEPG2	HEPG2	NR2C2	-0.97149	0.0281199538638985	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EVU.FOS.ENDOTHELIAL_UMBILICAL_VEIN	HUVEC	FOS	-0.96952	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EVW.GATA2.ENDOTHELIAL_UMBILICAL_VEIN	HUVEC	GATA2	-0.9672200000000001	0.014002642007926001	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EVX.ZNF274.K562	K562	ZNF274	-0.97652	0.0483913043478261	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EVY.TRIM28.K562	K562	TRIM28	-0.98014	0.0106	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EWD.SETDB1.K562	K562	SETDB1	-0.9784700000000001	0.022822966507177005	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EWF.YY1.K562	K562	YY1	-0.9608200000000001	0.0504216216216216	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EWG.GATA2.K562	K562	GATA2	-0.9691700000000001	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EWI.SETDB1.K562	K562	SETDB1	-0.97177	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EWJ.E2F6.K562	K562	E2F6	-0.9636100000000001	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EWL.E2F4.K562	K562	E2F4	-0.9633799999999999	0.00465934065934066	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EWM.GATA1.K562	K562	GATA1	-0.9679399999999999	0.0239476813317479	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EWN.ZNF263.K562	K562	ZNF263	-0.9623299999999999	0.0095067264573991	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EWS.GATA3.MCF7	MCF7	GATA3	-0.97796	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EWT.TCF7L2.MCF7	MCF7	TCF7L2	-0.98064	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EWU.ZNF217.MCF7	MCF7	ZNF217	-0.9748600000000001	0.0173770491803279	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EWV.GATA3.MCF7	MCF7	GATA3	-0.98641	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EWX.E2F1.MCF7	MCF7	E2F1	-0.96696	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EWY.ZNF274.NT2D1	NT2D1	ZNF274	-0.98718	0.16870870870870902	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EXG.YY1.NT2D1	NT2D1	YY1	-0.9680799999999999	0.00465934065934066	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EXL.TCF7L2.PANC1	PANC1	TCF7L2	-0.97011	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EXP.GATA1.ERYTHROBLAST	ERYTHROBLAST	GATA1	-0.9690799999999999	0.00465934065934066	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EXZ.GATA3.SHSY5Y	SHSY5Y	GATA3	-0.97305	0.0106	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EYB.GATA2.SHSY5Y	SHSY5Y	GATA2	-0.9685799999999999	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EYC.TRIM28.U2OS	U2OS	TRIM28	-0.9686600000000001	0.0095067264573991	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EYD.SETDB1.U2OS	U2OS	SETDB1	-0.9705600000000001	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EYV.JUND.GM12878	GM12878	JUND	-0.9818899999999999	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EYZ.FOS.GM12878	GM12878	FOS	-0.98011	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EZC.SMARCA4.HELA_S3	HELA S3	SMARCA4	-0.9783799999999999	0.00613899613899614	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EZD.MYC.HELA_S3	HELA S3	MYC	-0.96372	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EZE.FOS.HELA_S3	HELA S3	FOS	-0.97596	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EZF.MAX.HELA_S3	HELA S3	MAX	-0.9636100000000001	0.00830721003134796	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EZK.STAT1.HELA_S3	HELA S3	STAT1	-0.97214	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EZO.SREBF2.HEPG2	HEPG2	SREBF2	-0.98229	0.230570866141732	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EZP.SREBF1.HEPG2	HEPG2	SREBF1	-0.98424	0.196842105263158	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EZT.JUN.K562	K562	JUN	-0.9733299999999999	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EZU.MYC.K562	K562	MYC	-0.96109	0.0271794871794872	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EZV.MYC.K562	K562	MYC	-0.9588899999999999	0.0609584664536741	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EZW.JUN.K562	K562	JUN	-0.97296	0.0161421319796954	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000EZX.JUN.K562	K562	JUN	-0.97675	0.0106	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000FAD.RAD21.K562	K562	RAD21	-0.9665100000000001	0.0118105849582173	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000FAE.MAX.K562	K562	MAX	-0.9757	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000FAF.NFE2.K562	K562	NFE2	-0.977	0.00830721003134796	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000FAG.MYC.K562	K562	MYC	-0.9654299999999999	0.00465934065934066	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000FAH.JUN.K562	K562	JUN	-0.97064	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000FAI.FOS.K562	K562	FOS	-0.97083	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000FAT.STAT2.K562	K562	STAT2	-0.96921	0.0831589958158996	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000FAU.STAT1.K562	K562	STAT1	-0.9719200000000001	0.22310276679841898	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000FAV.STAT1.K562	K562	STAT1	-0.9886	0.0151036269430052	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000FAZ.MYC.K562	K562	MYC	-0.95435	0.223928923988154	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000FBC.STAT2.K562	K562	STAT2	-0.96546	0.19426294820717105	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000FCB.MITF.K562	K562	MITF	-0.95995	0.0958627858627858	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000FCC.NFE2.K562	K562	NFE2	-0.96515	0.00465934065934066	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000FCD.SMAD5.K562	K562	SMAD5	-0.96944	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR000FCE.ETV6.K562	K562	ETV6	-0.9747600000000001	0.0151036269430052	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR004GKA.ZEB2.K562	K562	ZEB2	-0.9641299999999999	0.00830721003134796	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR005NMT.ID3.K562	K562	ID3	-0.96275	0.00613899613899614	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR009MBP.HSF1.GM12878	GM12878	HSF1	-0.96967	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR010KFT.NONO.K562	K562	NONO	-0.95929	0.0686411889596603	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR011PEI.ZNF175.K562	K562	ZNF175	-0.9670799999999999	0.0356502242152466	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR014RHK.ZNF175.HEPG2	HEPG2	ZNF175	-0.9631700000000001	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR017CEO.CUX1.MCF7	MCF7	CUX1	-0.9724299999999999	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR017GBO.TFDP1.K562	K562	TFDP1	-0.97272	0.00830721003134796	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR027HML.CTCF.OCILY7	OCILY7	CTCF	-0.9640700000000001	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR028NUR.ZNF592.MCF7	MCF7	ZNF592	-0.99045	0.0387375415282392	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR033VAZ.TARDBP.K562	K562	TARDBP	-0.9702299999999999	0.0095067264573991	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR038DJJ.SMAD1.K562	K562	SMAD1	-0.9641200000000001	0.00830721003134796	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR043EHG.BACH1.A549	A549	BACH1	-0.97393	0.014002642007926001	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR049KIZ.CUX1.HEPG2	HEPG2	CUX1	-0.9653200000000001	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR054FKH.RAD21.HEPG2	HEPG2	RAD21	-0.9630299999999999	0.0095067264573991	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR062HDL.HSF1.MCF7	MCF7	HSF1	-0.96045	0.41244741873805	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR064LJN.RFX5.A549	A549	RFX5	-0.96945	0.0271794871794872	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR067HGI.CHD2.A549	A549	CHD2	-0.97677	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR076YPO.RNF2.K562	K562	RNF2	-0.96467	0.0106	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR077DKV.CREM.K562	K562	CREM	-0.9654299999999999	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR084RDK.CTCF.DOHH2	DOHH2	CTCF	-0.96367	0.00465934065934066	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR085QEV.NBN.K562	K562	NBN	-0.9650200000000001	0.00465934065934066	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR090TRI.EZH2.SUDHL6	SUDHL6	EZH2	-0.98445	0.246052889324192	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR091GVJ.ATF1.K562	K562	ATF1	-0.96504	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR093FKD.CREB3.K562	K562	CREB3	-0.97136	0.0106	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR094ZCF.CEBPG.MCF7	MCF7	CEBPG	-0.9825299999999999	0.00465934065934066	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR101FJS.TBL1XR1.HEPG2	HEPG2	TBL1XR1	-0.96439	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR101FJT.ZNF143.HEPG2	HEPG2	ZNF143	-0.96106	0.00465934065934066	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR101FJU.ZNF384.HEPG2	HEPG2	ZNF384	-0.9640000000000001	0.00613899613899614	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR103SZL.TFAP4.HEPG2	HEPG2	TFAP4	-0.9654	0.00465934065934066	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR106FRG.TAL1.K562	K562	TAL1	-0.9657600000000001	0.00830721003134796	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR107GRP.MLLT1.K562	K562	MLLT1	-0.96375	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR109YGM.CREB3L1.K562	K562	CREB3L1	-0.9678	0.00465934065934066	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR110QXM.TCF25.HEPG2	HEPG2	TCF25	-0.9726	0.00613899613899614	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR113LAS.MTA2.K562	K562	MTA2	-0.96691	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR113REG.CTCF.KARPAS422	KARPAS422	CTCF	-0.96546	0.00613899613899614	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR115SMW.PKNOX1.K562	K562	PKNOX1	-0.9663799999999999	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR116TFA.NR3C1.A549	A549	NR3C1	-0.96693	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR117KWH.ZNF207.GM12878	GM12878	ZNF207	-0.96891	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR117WTM.ZNF24.K562	K562	ZNF24	-0.96234	0.022822966507177005	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR124BJR.ETV6.K562	K562	ETV6	-0.97049	0.0151036269430052	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR125DKL.CTCF.SUDHL6	SUDHL6	CTCF	-0.96431	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR125ZYC.KLF9.MCF7	MCF7	KLF9	-0.97349	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR126FZN.PTRF.K562	K562	PTRF	-0.9718600000000001	0.06653191489361701	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR135ANT.NRF1.MCF7	MCF7	NRF1	-0.9628700000000001	0.0536853448275862	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR137ZMQ.REST.K562	K562	REST	-0.96226	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR138FUZ.RNF2.K562	K562	RNF2	-0.96024	0.0217632850241546	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR140DSL.MAFF.HELA_S3	HELA S3	MAFF	-0.9664299999999999	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR149ZBI.ZNF584.K562	K562	ZNF584	-0.9775799999999999	0.0367150837988827	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR155KHM.ARNT.K562	K562	ARNT	-0.96824	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR155VDK.ZBTB11.MCF7	MCF7	ZBTB11	-0.9641299999999999	0.126939611054248	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR157CAU.ZKSCAN1.HEPG2	HEPG2	ZKSCAN1	-0.9683200000000001	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR159OCC.ATF1.K562	K562	ATF1	-0.95509	0.23486274509803898	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR167JBG.DIDO1.K562	K562	DIDO1	-0.96821	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR171FUX.FOXK2.HEPG2	HEPG2	FOXK2	-0.9671700000000001	0.0184577114427861	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR176EXN.JUN.MCF7	MCF7	JUN	-0.9829899999999999	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR177HDZ.FOS.HEPG2	HEPG2	FOS	-0.96877	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR180NCY.MTA3.K562	K562	MTA3	-0.96462	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR184MFH.ZFP36.HELA_S3	HELA S3	ZFP36	-0.9771200000000001	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR189PYJ.SMAD2.K562	K562	SMAD2	-0.6121300000000001	0.996	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR194IJN.ZNF766.K562	K562	ZNF766	-0.96373	0.384529750479846	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR197DJH.SREBF1.MCF7	MCF7	SREBF1	-0.9824299999999999	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR198ZYJ.RAD21.NEURAL	NEURAL	RAD21	-0.96764	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR199WXF.EED.GM12878	GM12878	EED	-0.96319	0.00298591549295775	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR205FOW.ATF3.LIVER	LIVER	ATF3	-0.97611	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR207PFI.ZBED1.GM12878	GM12878	ZBED1	-0.9731	0.0	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR219MKK.DEK.HELA_S3	HELA S3	DEK	-0.9622	0.007162162162162159	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR224IKA.TFDP1.K562	K562	TFDP1	-0.9627600000000001	0.0324858115777526	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
ENCSR234VCE.DPF2.MCF7	MCF7	DPF2	-0.96362	0.0118105849582173	genotype_SY5609_vs_DMSO.enrichment	30min_DMSO	30min_SY5609
